[2026-09-03T09:58:59.038Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T09:58:59.039Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-03T09:58:59.078Z INFO  gresse::replica] replica 178842683849156807 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=13.53.121.51:19082
[2026-09-03T09:58:59.136Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/persistent.json
[2026-09-03T09:58:59.903Z INFO  gresse::replica] replica 178842683849156807 discovered 104 membership descriptors during init
[2026-09-03T09:58:59.903Z INFO  gresse::replica] replica 178842683849156807 startup completed
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683849154804, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683849155807, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683849158806, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683956181205, address: 52.59.198.67:19080, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683956182204, address: 52.59.198.67:19081, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683956183203, address: 52.59.198.67:19082, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956185206
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683956184206, address: 52.59.198.67:19083, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114090206, address: 34.246.191.174:19080, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114091205, address: 34.246.191.174:19081, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114092204, address: 34.246.191.174:19082, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114093203, address: 34.246.191.174:19083, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114094206, address: 34.246.191.174:19084, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286993606, address: 35.179.101.242:19080, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286994606, address: 35.179.101.242:19081, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286995605, address: 35.179.101.242:19082, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286996604, address: 35.179.101.242:19083, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286997603, address: 35.179.101.242:19084, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684426432106, address: 13.38.47.15:19080, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684426433106, address: 13.38.47.15:19081, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684426434106, address: 13.38.47.15:19082, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684426435105, address: 13.38.47.15:19083, final_counter: None }
[2026-09-03T09:58:59.903Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684426436104, address: 13.38.47.15:19084, final_counter: None }
[2026-09-03T09:58:59.904Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956185206
[2026-09-03T09:58:59.904Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286994606
[2026-09-03T09:58:59.904Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286994606
[2026-09-03T09:58:59.904Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683849154804
[2026-09-03T09:58:59.904Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683849154804
[2026-09-03T09:58:59.904Z WARN  gresse::network] replica 178842683849156807 peer connection attempt failed: could not connect to 13.53.121.51:19084: Connection refused (os error 111)
[2026-09-03T09:58:59.904Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683849155807
[2026-09-03T09:58:59.904Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683849155807
[2026-09-03T09:58:59.928Z WARN  gresse::network] replica 178842683849156807 peer connection attempt failed: could not connect to 52.59.198.67:19081: Connection refused (os error 111)
[2026-09-03T09:58:59.952Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956184206
[2026-09-03T09:58:59.952Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956184206
[2026-09-03T09:58:59.952Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956183203
[2026-09-03T09:58:59.952Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956183203
[2026-09-03T09:58:59.952Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956181205
[2026-09-03T09:58:59.952Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956181205
[2026-09-03T09:58:59.959Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286996604
[2026-09-03T09:58:59.959Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286996604
[2026-09-03T09:58:59.961Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286995605
[2026-09-03T09:58:59.961Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286995605
[2026-09-03T09:58:59.961Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286997603
[2026-09-03T09:58:59.961Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286997603
[2026-09-03T09:58:59.961Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286993606
[2026-09-03T09:58:59.961Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286993606
[2026-09-03T09:58:59.966Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684426436104
[2026-09-03T09:58:59.966Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684426436104
[2026-09-03T09:58:59.966Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684426434106
[2026-09-03T09:58:59.966Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684426434106
[2026-09-03T09:58:59.966Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684426433106
[2026-09-03T09:58:59.966Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684426433106
[2026-09-03T09:58:59.966Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684426435105
[2026-09-03T09:58:59.966Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684426435105
[2026-09-03T09:58:59.966Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684426432106
[2026-09-03T09:58:59.966Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684426432106
[2026-09-03T09:58:59.989Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114092204
[2026-09-03T09:58:59.989Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114092204
[2026-09-03T09:58:59.989Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114094206
[2026-09-03T09:58:59.989Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114094206
[2026-09-03T09:58:59.989Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114091205
[2026-09-03T09:58:59.989Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114091205
[2026-09-03T09:58:59.989Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114093203
[2026-09-03T09:58:59.989Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114093203
[2026-09-03T09:58:59.989Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114090206
[2026-09-03T09:58:59.989Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114090206
[2026-09-03T09:59:00.241Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956182204
[2026-09-03T09:59:00.387Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956182204
[2026-09-03T09:59:00.886Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683849157807
[2026-09-03T09:59:00.886Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683849157807
[2026-09-03T09:59:02.034Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683849158806
[2026-09-03T09:59:02.034Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683849158806
[2026-09-03T09:59:59.107Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842683956183203 with final counter Some(3772)
[2026-09-03T09:59:59.341Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842683956184206 with final counter Some(924)
[2026-09-03T10:00:04.105Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842683956185206 with final counter Some(917)
[2026-09-03T10:00:22.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:00:24.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684114092204: channel closed
[2026-09-03T10:00:28.906Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:00:38.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:00:44.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684114090206: channel closed
[2026-09-03T10:00:45.907Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684114091205: channel closed
[2026-09-03T10:00:59.114Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842683956183207, address: 52.59.198.67:19082, final_counter: None }
[2026-09-03T10:00:59.158Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956183207
[2026-09-03T10:00:59.158Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956183207
[2026-09-03T10:01:00.332Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956184207
[2026-09-03T10:01:00.332Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956184207
[2026-09-03T10:01:01.365Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842683956185207
[2026-09-03T10:01:01.365Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842683956185207
[2026-09-03T10:01:19.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:01:21.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842683956183207: channel closed
[2026-09-03T10:01:59.188Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684114093203 with final counter Some(3794)
[2026-09-03T10:01:59.450Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684286993606 with final counter Some(846)
[2026-09-03T10:02:04.105Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684114094206 with final counter Some(1022)
[2026-09-03T10:02:10.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:02:23.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684286996604: channel closed
[2026-09-03T10:02:30.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:02:33.904Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684286994606: channel closed
[2026-09-03T10:02:59.106Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684114093207, address: 34.246.191.174:19083, final_counter: None }
[2026-09-03T10:02:59.106Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286993607, address: 35.179.101.242:19080, final_counter: None }
[2026-09-03T10:02:59.338Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684286993607
[2026-09-03T10:02:59.338Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684286993607
[2026-09-03T10:02:59.414Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114093207
[2026-09-03T10:02:59.414Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114093207
[2026-09-03T10:03:00.793Z INFO  gresse::network] replica 178842683849156807 registered bidirectional network channel for replica 178842684114094207
[2026-09-03T10:03:00.793Z INFO  gresse::replica] replica 178842683849156807 established peer replication connection with replica 178842684114094207
[2026-09-03T10:03:13.906Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:03:14.908Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684286995605: channel closed
[2026-09-03T10:03:59.115Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684286997603 with final counter Some(4084)
[2026-09-03T10:03:59.436Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684426432106 with final counter Some(849)
[2026-09-03T10:04:04.111Z INFO  gresse::replica] replica 178842683849156807 observed shutdown descriptor for replica 178842684426433106 with final counter Some(839)
[2026-09-03T10:04:23.904Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:04:24.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684426434106: channel closed
[2026-09-03T10:04:30.905Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
[2026-09-03T10:04:34.905Z WARN  gresse::replica] replica 178842683849156807 deferred pull request to peer 178842684426435105: channel closed
[2026-09-03T10:04:59.114Z INFO  gresse::network] replica 178842683849156807 discovered network member NetworkMember { pid: 178842684286997607, address: 35.179.101.242:19084, final_counter: None }
