[2026-09-01T09:27:42.612Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T09:27:42.613Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-01T09:27:42.640Z INFO  gresse::replica] replica 178825481046241401 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=13.38.41.188:19082
[2026-09-01T09:27:42.755Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/persistent.json
[2026-09-01T09:27:42.830Z INFO  gresse::replica] replica 178825481046241401 discovered 16 membership descriptors during init
[2026-09-01T09:27:42.830Z INFO  gresse::replica] replica 178825481046241401 startup completed
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480714263201, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480714264201, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480714265201, address: 16.170.108.158:19082, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480714266201, address: 16.170.108.158:19083, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480759179601, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480759180601, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480759181601, address: 3.68.220.182:19082, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480843462701, address: 34.245.195.69:19080, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480843463701, address: 34.245.195.69:19081, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480843464701, address: 34.245.195.69:19082, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480957157901, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480957158901, address: 18.130.228.25:19081, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825480957159901, address: 18.130.228.25:19082, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825481046239401, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T09:27:42.830Z INFO  gresse::network] replica 178825481046241401 discovered network member NetworkMember { pid: 178825481046240401, address: 13.38.41.188:19081, final_counter: None }
[2026-09-01T09:27:42.831Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825481046239401
[2026-09-01T09:27:42.831Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825481046239401
[2026-09-01T09:27:42.831Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825481046240401
[2026-09-01T09:27:42.831Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825481046240401
[2026-09-01T09:27:42.844Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480957157901
[2026-09-01T09:27:42.844Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480957157901
[2026-09-01T09:27:42.846Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480759180601
[2026-09-01T09:27:42.846Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480759180601
[2026-09-01T09:27:42.846Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480957158901
[2026-09-01T09:27:42.846Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480957158901
[2026-09-01T09:27:42.847Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480759179601
[2026-09-01T09:27:42.847Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480759179601
[2026-09-01T09:27:42.849Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480957159901
[2026-09-01T09:27:42.849Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480957159901
[2026-09-01T09:27:42.852Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480759181601
[2026-09-01T09:27:42.852Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480759181601
[2026-09-01T09:27:42.865Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480843462701
[2026-09-01T09:27:42.865Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480843462701
[2026-09-01T09:27:42.865Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480843463701
[2026-09-01T09:27:42.865Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480843463701
[2026-09-01T09:27:42.883Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480843464701
[2026-09-01T09:27:42.883Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480843464701
[2026-09-01T09:27:42.893Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480714266201
[2026-09-01T09:27:42.893Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480714266201
[2026-09-01T09:27:42.893Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480714264201
[2026-09-01T09:27:42.893Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480714264201
[2026-09-01T09:27:42.893Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480714263201
[2026-09-01T09:27:42.893Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480714263201
[2026-09-01T09:27:42.893Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480714265201
[2026-09-01T09:27:42.893Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480714265201
[2026-09-01T09:27:42.910Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480957160901
[2026-09-01T09:27:42.910Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480957160901
[2026-09-01T09:27:42.957Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480714267201
[2026-09-01T09:27:42.957Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480714267201
[2026-09-01T09:27:43.123Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480957161901
[2026-09-01T09:27:43.123Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825480957161901
[2026-09-01T09:27:43.147Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825481046242401
[2026-09-01T09:27:43.148Z INFO  gresse::replica] replica 178825481046241401 established peer replication connection with replica 178825481046242401
[2026-09-01T09:27:43.157Z INFO  gresse::network] replica 178825481046241401 registered bidirectional network channel for replica 178825480759182601
